Table 1
,Criteria,Definition,,
Application,Resume,"Based on the resume, how successful has this person been at rising to the top of the pack in previous endeavors? How hard has he/she pushed him/herself?",,
,Preparation,"Not only came on time, but did research, and/or spoke to references/other employees in doing diligence",,
,Experience Relevance,How strongly do the past experiences speak to the candidate's ability to succeed in role at Magma?,,
Work Style,Reliability,"Would you trust this person with a hand-off, without micromanagement? Are they consistently dependable?",,
,Goes Above Duty,Will this person go above and beyond what is asked of him/her and particularly in a way that supports other teammates? Eg is he/she eager to jump in and help if someone else is tied up or away?,,
,Thoughtful Communicator,"This person posseses both emotional intelligence in communicating, as well as a responsiveness to keep pace with the fast moving nature of the organization",,
,Bias towards results,Does this person focus on team KPIs rather than distractions that are personally interesting? How strong a prioritizer?,,
,Grit,"Will this person persevere and find a way to get things done, without complaining?",,
,Stress Handling,Will this person perform well even if juggling multiple things at once or working towards an aggressive deadline?,,
,Intellectual Curiosity,"Does this person inquire to the how and they why, or just the what? Does s/he question things we may take for granted? Does s/he ask questions investors would ask?",,
,Scalable Process Builder,"This person cares not only about getting the job done, but also about building a better system each and every time a task is done",,
Personal Drive,Self Motivation,This person is both a self-starter and driven to achieve success without outside catalyst,,
,Personal Growth,Does this person articulate his/her developmental objectives? Is s/he asking questions around whether the opportunity will help him/her grow?,,
,Coachability,"Does this person seek feedback, AND take feedback well?",,
Cultural Fit,Airport Test,How happy will I be after spending hours stranded in an airport with this person?,,
,Energy,"How much energy does this person bring to the team, and how is that energy directed? Is it inspiring energy or chaotic energy?",,
,Alignment,"Is this person motivated by the people we work with, the clients we serve, and the social impact we are having?",,
,Humility,Does this person have any sense of entitlement? Will this person dive in and help out no matter how mundane or simple the task? Just do it (tm)?,,
Role Specific,Ruby,,,
,Guapura,,,
,,,,
,,,,
,0,,,
,0,,,
,0,,,
,0,,,
,0,,,
