Table 1
,,,,,,,
,Performance and Potential Definitions Matrix,,,,,,
,,,Potential,,,Trait,
,,,Individuals stagnated in current potential unlikely to be promoted only fitting current role,Individuals with potential for promotion or lateral moves into more complex roles,Individuals with potential to progress through more senior and complex roles,,
,,,Low,Medium,High,,
,Performance,Outstanding,"Have high performance but might reached career potential, it'll need to learn other skills to continue growing",Performs with clear expertisse but might need to develop new skills,Has mastered current position consistently performing well in multiple tasks and it's ready for more,,
,,,Proficient employee that Applies Theory providing practical ideas and perspectives whom properly understand and apply common patterns and best practices,"Proficient employee that Applies Theory capable of translating complex nuances into easy to understand terms with deep understanding of patterns, best practices and processes",Recognized Authority with High Expertisse on its Area. Consistently apply and enhance knowledge with excellence,Mastery,
,,,Pod and Multiple Team Contributor with Influence in Multiple projects for a given Client,Leader capable of giving advice and influence multiple projects for different Clients,"General Leader capable of Consulting Clients, Areas and Teams inside or outside the organization",Impact,
,,,Apply & Enhances Knowledge and Might Recognize Others Publicly,Share Knowledge & Experience by Coaching others and Recognizes Others Publicly,"Expert Consultant that Promotes Development, Constantly Recognizes Achievements & Efforts of different Groups Publicly",Growth & Recognition,
,,,Employe Might Exceeds expectations,Employee Exceeds expectations,Employee have an Elite Performance,Performance,
,,,3,2,1,,
,,Effective,Performance is consistent showing no interest on getting a higher role. It might need coaching or a different role,"Might need coaching to improve
OR
Might be ready for a new role",Does well in current position and had showed ability of doing more,,
,,,Competent employee with Practical Application knowledge that knows common patterns and practices superficially,Competent employee with Practical Application knowledge that understand and apply common patterns and best practices,Competent employee with Practical Application knowledge that might Apply Theory properly with a clear understanding of common patterns and best practices implementation,Mastery,
,,,Team Contributor with Influence in current Project only,Team Contributor with influence in current Project; might be capable of giving advice to other projects or teams for the current Client,Pod and Multiple Team Contributor with Influence in Multiple projects for a given Client,Impact,
,,,Apply Knowledge and Recognizes Peers,"Apply Knowledge, Might Mentors Others and Recognizes Peers Publicly","Enhance Knowledge, Mentors and Recognizes Others Publicly",Growth & Recognition,
,,,Employee has an Standard performance,Employee has an Standard performance,Employee Might Exceeds expectations,Performance,
,,,6,5,4,,
,,Under,"Might need lower level position to succeed 
OR 
Might not be a good fit for MagmaLabs",Shows potential for future role but MUST improve performance with mentoring,Might need coaching and further development to improve performance to take on larger roles,,
,,,Beginner with Basic Knowledge and incomplete understanding,Advanced Beginner with Limited Experience that understand basic concepts and terminology,"Advanced Beginner with Limited Experience that understand concepts, terminology, principles and issues",Mastery,
,,,Lone Worker with only Self Influence,Lone Worker with Small Current Project Contribution,Lone Worker with Current Project Contribution,Impact,
,,,Still Learning and Self-centered,Keeps Learning and Might Recognize Peers,Keeps Learning and Recognize Peers,Growth & Recognition,
,,,Employee performance is Below expectations,Employee performance is Beneath expecations,Employee performance is Beneath expecations,Performance,
,,,9,8,7,,
,,,,,,,
,,,↓ Too soon: 3 Months,,(★) Must leave company,,
,,,* Matrix is based on Traits values ,,,,
